abbreviation,expands_to,ambiguous,n_words,keep
"תבוא""ש",תבואות שור,,2,Y
"תבו""ש",תבואות שור,,2,Y
"תו""כ",תורת כהנים,,2,Y
"תומ""ד",תומר דבורה,,2,Y
"תוספ'",תוספתא,,1,Y
"תנד""א",תנא דבי אליהו,,3,Y
"תנדב""א",תנא דבי אליהו,,3,Y
"תנח'",תנחומא,,1,Y
"תקו""ז",תיקוני זוהר,,2,Y
"ט""ז",טורי זהב,,2,Y
