aramaic,hebrew,score,verses
נמשי,נמשי,2.0000,4
משמרונ,משמרונ,2.0000,4
ויהושפט,ויהושפט,2.0000,7
יהורמ,יהורמ,2.0000,12
זבוב,זבוב,2.0000,4
ליורמ,ליורמ,2.0000,3
ואחזיהו,ואחזיהו,2.0000,3
ויהוא,ויהוא,2.0000,7
יהואש,יהואש,2.0000,16
פקחיה,פקחיה,2.0000,3
תגלת,תגלת,2.0000,3
בבזק,בבזק,2.0000,3
בזק,בזק,2.0000,3
אהוד,אהוד,2.0000,5
ואהוד,ואהוד,2.0000,3
בעפרה,בעפרה,2.0000,3
וצלמנע,וצלמנע,2.0000,6
באבימלכ,באבימלכ,2.0000,3
געל,געל,2.0000,9
מצרעה,מצרעה,2.0000,3
ומנוח,ומנוח,2.0000,3
דלילה,דלילה,2.0000,6
ויהונתנ,ויהונתנ,2.0000,13
אלקנה,אלקנה,2.0000,8
במכמש,במכמש,2.0000,3
ואבנר,ואבנר,2.0000,6
ואבישי,ואבישי,2.0000,6
ואביגיל,ואביגיל,2.0000,3
אמנונ,אמנונ,2.0000,17
לאמנונ,לאמנונ,2.0000,3
ואחימעצ,ואחימעצ,2.0000,3
ועמשא,ועמשא,2.0000,4
וברזלי,וברזלי,2.0000,3
עירא,עירא,2.0000,3
ושאול,ושאול,1.9574,23
יהוידע,יהוידע,1.9574,23
ירבעמ,ירבעמ,1.9562,67
חנוכ,חנוכ,1.9512,20
צבאות,צבאות,1.9491,249
יונתנ,יונתנ,1.9487,19
בחברונ,בחברונ,1.9459,18
ודוד,ודוד,1.9459,36
אחיקמ,אחיקמ,1.9459,18
יהוא,יהוא,1.9444,35
אבימלכ,אבימלכ,1.9429,68
שפנ,שפנ,1.9429,17
נבוזראדנ,נבוזראדנ,1.9355,15
עמיהוד,עמיהוד,1.9310,14
אלישמע,אלישמע,1.9310,14
ואביהוא,ואביהוא,1.9310,14
זלפה,זלפה,1.9310,14
ובכל,ובכל,1.9266,105
ככל,ככל,1.9259,130
בחשבונ,בחשבונ,1.9259,13
יהואחז,יהואחז,1.9259,13
בתואל,בתואל,1.9200,12
בדוד,בדוד,1.9200,12
עמינדב,עמינדב,1.9130,11
אליספ,אליספ,1.9130,11
נונ,נונ,1.9130,44
וליעקב,וליעקב,1.9130,22
אליאב,אליאב,1.9091,21
ובמדברא,ובמדבר,1.9091,5
וירמיה,וירמיהו,1.9091,4
עמונ,עמונ,1.9080,83
פלג,פלג,1.9048,10
ועיני,ועיני,1.9048,10
יערימ,יערימ,1.9048,10
ויואב,ויואב,1.9048,10
הדד,הדד,1.8983,28
יהונתנ,יהונתנ,1.8969,46
וכל,וכל,1.8949,685
שלמיאל,שלמיאל,1.8947,9
גמליאל,גמליאל,1.8947,9
פדהצור,פדהצור,1.8947,9
אבידנ,אבידנ,1.8947,9
פגעיאל,פגעיאל,1.8947,9
עכרנ,עכרנ,1.8947,9
ורחל,ורחל,1.8947,9
בניהו,בניהו,1.8947,9
אכיש,אכיש,1.8947,18
נעמנ,נעמנ,1.8947,9
ויהושע,ויהושע,1.8909,26
יתקעונ,יתקעו,1.8889,7
עשרונא,עשרונ,1.8889,12
ידבקונ,ידבקו,1.8889,4
ובעופא,ובעופ,1.8889,7
וכרובא,וכרוב,1.8889,4
ובכספא,ובכספ,1.8889,4
קיקיונ,הקיקיונ,1.8889,4
דקישונ,קישונ,1.8889,4
במשיחא,במשיח,1.8889,3
או,או,1.8852,345
אליצור,אליצור,1.8824,8
שדיאור,שדיאור,1.8824,8
אחיעזר,אחיעזר,1.8824,8
עמישדי,עמישדי,1.8824,8
ובינכ,ובינכ,1.8824,24
באדומ,באדומ,1.8824,8
מבבל,מבבל,1.8824,8
בגבעונ,בגבעונ,1.8824,8
