aramaic,hebrew,score,verses
רדפו,רדפו,1.2308,4
ויששכר,ויששכר,1.2308,4
מספד,מספד,1.2308,4
תונונ,תונו,1.2308,4
מועדי,מועדי,1.2308,4
בעמלק,בעמלק,1.2308,4
גזית,גזית,1.2308,4
רחוב,רחוב,1.2308,4
אחזיה,אחזיה,1.2308,4
אמציהו,אמציהו,1.2308,4
מותיה,מותו,1.2298,9
נדבתא,נדבה,1.2298,9
בחמשא,בחמשה,1.2297,13
לשארא,לשארית,1.2281,7
חלב,חלב,1.2277,31
והיא,והיא,1.2273,27
לכהנא,לכהנ,1.2261,34
ושמעו,וישמעו,1.2255,25
כהניא,הכהנימ,1.2253,93
נזירא,הנזיר,1.2250,7
דמשיחינ,משחימ,1.2250,7
ביומיא,בימימ,1.2245,40
ותחגונ,וחגתמ,1.2222,6
לאברמ,לאברמ,1.2222,11
במה,במה,1.2222,11
ויודי,והתודה,1.2222,4
ויסגר,והסגיר,1.2222,10
ואגירא,ושכיר,1.2222,4
ומחוהא,ויכוה,1.2222,4
ומשבטא,וממטה,1.2222,11
ושבעא,ושבעה,1.2209,15
אלינ,אלה,1.2204,299
קברו,קברו,1.2174,7
ונסכה,ונסכה,1.2174,7
מבשר,מבשר,1.2174,7
לאבשלומ,לאבשלומ,1.2174,7
ואנא,ואני,1.2158,120
שמשא,השמש,1.2157,62
ואכלת,ותאכל,1.2128,19
שת,שת,1.2121,10
אוריא,האורימ,1.2121,4
נבני,נבנה,1.2121,4
אנוש,אנוש,1.2121,10
מנוח,מנוח,1.2121,10
במשכבה,בשכבה,1.2121,4
אחיה,אחיה,1.2121,10
נבלתיה,נבלתו,1.2121,4
מביתיה,מביתו,1.2121,4
ולארמלא,ולאלמנה,1.2121,8
ולאהרנ,ולאהרנ,1.2121,10
אוצרי,אוצרות,1.2121,4
שלח,שלח,1.2107,79
אדוניהו,אדניהו,1.2091,7
דאשמא,האשמ,1.2088,15
פרסתא,פרסה,1.2088,10
ירדופ,ירדפ,1.2088,5
תהי,תהיה,1.2085,142
טורי,הרי,1.2078,22
ונשיא,והנשימ,1.2037,10
סוסותיה,סוסיו,1.2037,5
ייבדונ,יאבדו,1.2037,5
ברדא,הברד,1.2037,13
דציונ,ציונ,1.2027,34
עיניכונ,עיניכמ,1.2016,16
ובלעת,ותבלע,1.2000,4
ותבני,ובנית,1.2000,4
במעברכונ,בעברכמ,1.2000,4
ויבנונ,ובנו,1.2000,8
קמחא,קמח,1.2000,7
ונוטיב,והטבנו,1.2000,4
ובכיתונ,ותבכו,1.2000,4
לבזא,לבז,1.2000,11
תצלח,תצלח,1.2000,3
כגיורא,כגר,1.2000,7
נעבר,נעבר,1.2000,3
דזרד,זרד,1.2000,3
יובקא,יבק,1.2000,9
צפור,צפור,1.2000,9
ובחמשת,ובחמשה,1.2000,3
מפומכונ,מפיכמ,1.2000,5
ולפלגות,ולחצי,1.2000,8
לדמא,לדמ,1.2000,7
תסחר,תסב,1.2000,3
צידא,ציד,1.2000,10
אליעזר,אליעזר,1.2000,3
ידעה,ידעה,1.2000,3
מחנימ,מחנימ,1.2000,3
פוטי,פוטי,1.2000,3
ובדרומא,ובנגב,1.2000,3
ואתפנינא,ונפנ,1.2000,6
מערער,מערער,1.2000,3
שביעתא,השביעת,1.2000,7
מלככ,מלככ,1.2000,3
סביכונ,זקניכמ,1.2000,3
ובחמה,ובחמה,1.2000,3
לסיחונ,לסיחונ,1.2000,3
צפירינ,השעירמ,1.2000,4
יחל,יחלל,1.2000,3
פקח,פקח,1.2000,6
כשית,כשש,1.2000,3
ובחושנא,ולחשנ,1.2000,6
ענוביא,מקבילת,1.2000,4
ודהבהונ,וזהבמ,1.2000,3
ואשפוכ,ושפכתי,1.2000,5
מצור,מצר,1.2000,3
תועיבנ,תועבות,1.2000,3
בביתי,בביתי,1.2000,3
באעברא,בהעביר,1.2000,3
ולתרעא,ולנתוצ,1.2000,3
ובשוקי,ובחצות,1.2000,7
מבכא,בכו,1.2000,3
נבוכדנאצר,נבכדנאצר,1.2000,7
שמעיה,שמעיה,1.2000,3
נשכ,נשיכ,1.2000,3
וכסדאי,וכשדימ,1.2000,3
מלכת,מלכת,1.2000,3
וזכותי,וצדקתי,1.2000,3
ואחלוש,וחליתי,1.2000,3
לי,לי,1.1994,376
מבנת,מבנות,1.1973,16
בקניא,בקנה,1.1973,8
חד,אחד,1.1934,430
ואמרית,ואמר,1.1932,90
דארנונ,ארנונ,1.1930,6
לירדנא,לירדנ,1.1930,12
למצרימ,מצרימה,1.1924,52
ושמעית,ואשמע,1.1895,7
למנ,למנ,1.1892,11
ועבדוהי,ועבדיו,1.1888,10
נחלא,נחל,1.1883,34
ביד,ביד,1.1870,119
סקופת,מפתנ,1.1868,6
במנינ,במספר,1.1856,46
ויזדמנונ,ונועדו,1.1852,4
ובנא,ויבנ,1.1852,52
מתור,משור,1.1852,4
ולחסודינ,ולחרפה,1.1852,4
וקרת,ותקרא,1.1829,46
עליכונ,עליכמ,1.1828,88
עפרא,עפר,1.1821,22
ירחיכונ,חדשיכמ,1.1818,5
ועבדי,ועבדי,1.1818,13
ותדכרונ,וזכרתמ,1.1818,5
אפרשותי,תרומתי,1.1818,4
ואחסנתכ,ונחלתכ,1.1818,7
באבנא,באבנ,1.1818,7
במניכונ,בכליכמ,1.1818,3
באתינ,ובמופתימ,1.1818,3
במיכלהונ,באכלמ,1.1818,3
ובנגרות,ובחרשת,1.1818,4
ואחסנתי,ונחלתי,1.1818,3
מדייניתא,המדינית,1.1795,3
תועבתיכ,תועבותיכ,1.1795,5
נסכיה,נסכו,1.1786,3
מסכות,מסכת,1.1786,3
חמריה,חמרו,1.1786,6
ירכיה,ירכו,1.1786,9
שארא,שארית,1.1786,33
שפולי,שולי,1.1786,6
שאילו,שאלו,1.1786,6
ולאבהתכונ,ולאבותיכמ,1.1786,3
אתנא,האתונ,1.1786,11
לקדמותנא,לקראתנו,1.1769,9
תולדת,תולדת,1.1765,10
מעיני,מעיני,1.1765,5
כנפי,כנפי,1.1765,5
מגדל,מגדל,1.1765,5
ויתברכונ,ונברכו,1.1765,6
ללבנ,ללבנ,1.1765,10
ומלי,ומלא,1.1765,6
לה,לה,1.1760,162
בעמא,בעמ,1.1755,16
ובפרשוהי,ובפרשיו,1.1748,4
עבר,עבר,1.1737,49
דמקרב,המקריב,1.1736,13
בקודשא,בקדש,1.1719,25
נפשכונ,נפשכמ,1.1712,13
עופא,עופ,1.1711,27
אשלח,אשלח,1.1707,12
תפרוק,תפדה,1.1688,10
הימנתונ,האמנתמ,1.1688,3
רוחיהנ,מגרשיהנ,1.1688,3
ושאליה,וישאלהו,1.1688,3
ואמרתונ,ותאמרו,1.1688,12
תושב,התשבי,1.1688,5
דמבארות,הבארתי,1.1688,3
אטוניהונ,מיתריהמ,1.1667,4
לשמשותהונ,לשרתמ,1.1667,3
לעמכ,לעמכ,1.1667,7
במניניהונ,במספרמ,1.1667,14
לבושיכונ,בגדיכמ,1.1667,4
מטלניהונ,מסעיהמ,1.1667,6
פתגמיהונ,דבריהמ,1.1667,5
ובריכו,ויברכו,1.1667,5
שלה,שלה,1.1667,7
פתגמיכונ,דבריכמ,1.1667,13
וקימיא,והחקימ,1.1667,5
אתכנעותיכ,כלמתכ,1.1667,3
נפשנא,נפשנו,1.1667,3
חמרינ,חמרימ,1.1667,4
יקומא,היקומ,1.1667,3
ולודאי,ולוד,1.1667,3
כנשיא,כנשימ,1.1667,4
לשעיר,שעירה,1.1667,3
כאריא,כאריה,1.1667,8
ועקרא,ועקרה,1.1667,3
משכבא,המשכב,1.1667,8
כסוסיא,כסוס,1.1667,3
המונא,ההמונ,1.1667,5
ותימר,ואמרת,1.1662,160
בכ,בכ,1.1650,60
ויומיא,והימימ,1.1640,10
ואכל,ויאכל,1.1640,20
תרביא,החלבימ,1.1640,10
גשוראה,הגשורי,1.1636,4
לממלכיה,למלכו,1.1636,4
לרקיעא,לרקיע,1.1624,4
בגדפיהונ,בכנפיהמ,1.1624,4
ורוחיהנ,ומגרשיהנ,1.1624,4
קטרת,קטרת,1.1613,27
חור,חור,1.1613,9
מעמכ,מעמכ,1.1613,9
תבל,תבל,1.1613,9
מיד,מיד,1.1594,40
ולאבוהי,ולאביו,1.1591,3
דשמאלא,השמאלית,1.1591,6
ואבניא,והאבנימ,1.1591,3
דמכרמלא,הכרמלי,1.1591,3
אפיכונ,פניכמ,1.1579,9
יריחו,יריחו,1.1579,11
מצלח,מצליח,1.1579,7
שקי,המשקימ,1.1579,7
וי,הוי,1.1570,42
למירתה,לרשתה,1.1567,53
יפרסונ,יפרשו,1.1556,4
כפלתא,המכפלה,1.1556,6
במתקלא,במשקל,1.1556,4
ונדבח,ונזבחה,1.1556,4
רכיבינ,רכבימ,1.1556,6
נהר,נהר,1.1556,13
שאל,שאל,1.1556,13
אלהכ,אלהיכ,1.1552,290
ושכיב,וישכב,1.1538,42
בעשרא,בעשור,1.1538,10
ידיהונ,ידיהמ,1.1538,36
לקדשותי,להקדישני,1.1538,4
חיי,חיי,1.1538,15
וסרכיכונ,ושטריכמ,1.1538,4
קלינ,קלת,1.1529,7
יתנונ,יתנו,1.1527,9
רגליכונ,רגליכמ,1.1515,5
בנתיכונ,בנתיכמ,1.1515,7
בימיניה,בימינו,1.1515,3
מלכיהונ,מלכיהמ,1.1515,10
ואוליד,ויולד,1.1503,72
יחזינ,תראינה,1.1503,8
וכנ,וכנ,1.1494,25
ויפלונ,ונפלו,1.1494,10
לקדמות,לקראת,1.1474,46
וכנענאי,והכנעני,1.1471,13
עמא,העמ,1.1464,676
שלפי,שלפ,1.1455,7
ברתכ,בתכ,1.1455,9
מורניתא,החנית,1.1455,9
ותתנונ,ונתתמ,1.1435,19
ועופא,ועופ,1.1429,4
ונדע,ונדעה,1.1429,4
למערת,מערת,1.1429,4
מחלי,מחלי,1.1429,4
ידעת,ידעת,1.1429,26
קרא,קרא,1.1429,44
תמנע,תמנע,1.1429,4
לשלה,לשלה,1.1429,4
קטיליהונ,חלליהמ,1.1429,3
לאלעזר,לאלעזר,1.1429,4
ועפר,ועפר,1.1429,4
וחמ,וחמ,1.1429,4
לתולדתהונ,לתולדתמ,1.1429,3
כספיה,כספו,1.1429,8
לאמיה,לאמו,1.1429,8
רישה,ראשה,1.1429,6
ולבנ,ולבנ,1.1429,4
יתרחק,ירחק,1.1429,4
ומנחתא,ומנחה,1.1429,12
קני,קני,1.1429,4
דאגליתינונ,הדחתימ,1.1429,4
רחמנא,רחומ,1.1429,4
נדבח,נזבחה,1.1429,4
בדהבא,בזהב,1.1429,4
גלוהי,גליו,1.1429,4
ובירחא,ובחדש,1.1407,7
ושאילו,וישאלו,1.1407,11
ולנכסת,ולזבח,1.1379,27
אבוכ,אביכ,1.1371,84
ביתיה,ביתו,1.1368,68
לברתיה,לבתו,1.1364,5
ידעתונ,ידעתמ,1.1364,15
ודכשר,והישר,1.1364,5
ותהי,והיתה,1.1358,103
ואחוהי,ואחיו,1.1349,11
ונקומ,ונקומה,1.1333,3
ושמאלא,ושמאל,1.1333,3
וכרמלא,וכרמל,1.1333,3
תזרעונ,תזרעו,1.1333,3
אגוריכונ,מזבחותיכמ,1.1333,4
יספדונ,יספדו,1.1333,3
אלהא,אלהי,1.1324,230
לקדמותיה,לקראתו,1.1324,33
וחמשינ,וחמשימ,1.1323,39
לאת,לאות,1.1319,19
כרמא,כרמ,1.1314,11
סיחונ,סיחונ,1.1304,13
עזינ,עזימ,1.1295,41
ושמיה,ושמו,1.1295,23
גלעדאה,הגלעדי,1.1294,6
כלידינ,משקדימ,1.1294,8
ביתי,ביתי,1.1282,11
ויתנונ,ונתנו,1.1275,23
כפרתא,הכפרת,1.1271,19
לכונ,לכמ,1.1265,593
מואב,מואב,1.1261,67
ועמא,והעמ,1.1259,38
מריריא,המרימ,1.1250,6
ענבינ,ענבימ,1.1250,9
פסחא,הפסח,1.1250,27
תנינות,שנית,1.1250,27
נהי,נהיה,1.1250,5
ושמעת,ותשמע,1.1250,3
מדבחכ,מזבחכ,1.1250,3
וכהנא,והכהנ,1.1250,9
גבעתא,הגבעה,1.1250,15
יריעתא,היריעת,1.1250,10
ארזינ,ארזימ,1.1250,9
נבייכונ,נביאיכמ,1.1250,3
בחוכמתיה,בחכמתו,1.1250,3
רוח,רוח,1.1242,86
ולבעירא,ולבהמת,1.1230,7
ישכוב,ישכב,1.1224,15
אבונא,אבינו,1.1224,22
ביומי,בימי,1.1224,35
בשילו,בשלו,1.1224,5
ולחמ,ולחמ,1.1200,7
הבל,הבל,1.1200,7
בשת,בשת,1.1200,7
וקמ,ויקמ,1.1200,116
ותתכבש,ונכבשה,1.1200,4
לטפלכונ,לטפכמ,1.1200,4
כשומ,כשמ,1.1200,4
גומר,גמר,1.1200,4
ואבהתכ,ואבתיכ,1.1200,4
כקל,כקול,1.1200,4
תהכונ,תלכו,1.1198,27
לפרכתא,לפרכת,1.1193,8
מרבע,רבוע,1.1183,13
ענה,ענה,1.1163,12
זרעא,זרע,1.1155,44
עמכ,עמכ,1.1145,129
לנסכא,לנסכ,1.1143,3
מעשרא,מעשר,1.1143,12
אעבר,אעברה,1.1143,9
כעופא,כעופ,1.1143,3
כרמלא,הכרמל,1.1136,7
ולשמאלא,ושמאול,1.1127,9
סוסונ,סוסימ,1.1121,23
במותהונ,במתמ,1.1111,5
ונתוב,ונשובה,1.1111,5
במי,במי,1.1111,5
ותעבר,והעברת,1.1111,5
ורישיה,וראשו,1.1111,5
רדפ,רדפ,1.1111,5
טפלכונ,טפכמ,1.1111,8
בלחשיהונ,בלטיהמ,1.1111,5
ואתיבית,ואענ,1.1111,5
לכוכבת,למלכת,1.1111,5
גדעוני,גדעני,1.1111,5
תולדתהונ,תולדתמ,1.1111,12
להלא,הלאה,1.1111,3
מקדשיה,מקדשו,1.1111,3
נחליא,הנחלימ,1.1111,3
אמחי,אמחה,1.1111,3
נפלת,נפלה,1.1111,7
תובי,שובי,1.1111,3
עברתונ,עברתמ,1.1111,3
אחא,אח,1.1111,9
נשיהונ,נשיהמ,1.1111,7
ופרסתא,ופרסה,1.1111,4
יבני,יבנה,1.1111,6
ידעונונ,ידעומ,1.1111,4
בנבלתהונ,בנבלתמ,1.1111,3
מנבלתהונ,מנבלתמ,1.1111,4
נתקא,הנתק,1.1111,8
לבניא,הלבנימ,1.1111,4
לשתא,לששת,1.1111,6
בגבעתא,בגבעה,1.1111,9
ערליא,הערלימ,1.1111,4
שונמ,השונמית,1.1111,3
ואמליכו,וימליכו,1.1111,5
ויהב,ויתנ,1.1100,169
ובנכ,ובניכ,1.1092,18
ופרשינ,ופרשימ,1.1077,4
ישמעונ,ישמעו,1.1073,17
מסחור,מסביב,1.1071,31
וליה,ולו,1.1070,17
דשבתא,השבת,1.1066,25
ויוספ,ויוספ,1.1064,13
דקיק,דק,1.1053,7
בפומה,בפיה,1.1020,3
לסדומ,סדמה,1.1020,6
אמתה,שפחתה,1.1020,6
בחברכ,ברעכ,1.1020,3
ובאבא,ובפרי,1.1020,3
במיגד,במשכ,1.1020,3
מחטופ,מחמס,1.1020,3
רביעיתא,הרביעית,1.1000,3
רוחיה,רוחו,1.1000,7
נפשיה,נפשו,1.0985,36
אשוי,אשימ,1.0980,14
יומי,ימי,1.0977,118
כספא,הכספ,1.0973,53
שמש,שמש,1.0968,17
מידיהונ,מידמ,1.0958,11
וחמרינ,וחמרימ,1.0957,7
בתריהונ,אחריהמ,1.0952,51
למנחתא,למנחה,1.0938,21
עברנא,עברנו,1.0938,5
ומברא,ומחוצ,1.0938,7
תחותכ,תחתיכ,1.0938,7
לקדמותהונ,לקראתמ,1.0931,18
עשרינ,עשרימ,1.0929,84
תובו,שובו,1.0920,19
לקדמותה,לקראתה,1.0909,4
ומסקינ,ומקטרימ,1.0909,6
בחד,באחד,1.0909,30
ונפלו,ויפלו,1.0909,20
צלמי,צלמי,1.0909,6
תרצה,תרצה,1.0909,3
אמי,אמי,1.0909,6
לקטו,לקטו,1.0909,3
לבניכ,לבניכ,1.0909,3
וירחמ,ורחמכ,1.0909,4
תפתח,תפתח,1.0909,3
לארבע,לארבע,1.0909,3
וביתא,והבית,1.0909,8
גת,גת,1.0909,6
מלכהא,מלכיה,1.0909,4
דעי,דעי,1.0909,3
כושי,כושי,1.0909,3
גלית,גלית,1.0909,3
שנינ,שנה,1.0891,373
עמודיהונ,עמודיהמ,1.0888,8
מאה,מאות,1.0880,265
אנשי,אנשי,1.0874,56
לחלצא,החללימ,1.0864,4
ונימר,ואמרנו,1.0864,4
כנענאי,הכנעני,1.0862,37
מאותא,המאות,1.0862,9
קהלא,הקהל,1.0861,29
שלמינ,תמיממ,1.0859,43
עלה,עליה,1.0852,162
כאלינ,כאלה,1.0837,10
וגופנינ,וגפנ,1.0833,3
ותשקי,והשקית,1.0833,3
כרובינ,כרבימ,1.0833,12
תתרעונ,תתצונ,1.0833,3
וקדישא,וקדוש,1.0833,3
גופנוהי,גפנו,1.0833,3
ועבר,ויעבר,1.0825,31
עבדוהי,עבדיו,1.0811,61
קרבניה,קרבנו,1.0802,35
מטלא,מטל,1.0800,3
בתולינ,בתולימ,1.0800,3
דחשבונ,חשבונ,1.0794,12
אדומ,אדומ,1.0783,31
ופתח,ויפתח,1.0776,12
דבביכונ,איביכמ,1.0774,32
בשמא,בשמ,1.0772,38
חמרי,החמרימ,1.0769,4
רמוניא,הרמנימ,1.0769,5
טפלא,הטפ,1.0769,5
ועבדכ,ועבדכ,1.0769,7
תחוס,תחוס,1.0769,7
יקרביניה,יקריבנו,1.0769,7
נשיא,הנשימ,1.0752,26
אחסנתנא,נחלתנו,1.0744,5
בעינכ,בעיניכ,1.0725,37
למא,למה,1.0714,80
ויהבו,ויתנו,1.0714,36
למרעי,לרעות,1.0714,3
פקדני,צוני,1.0714,5
דיריתו,ירשו,1.0714,3
האיזיל,האלכ,1.0714,3
וגזרת,ותכרת,1.0714,3
ענכונ,צאנכמ,1.0714,6
תהומיא,תהמת,1.0714,3
מסטרהא,מנרה,1.0714,3
לדיריה,צדיו,1.0714,3
ומננ,ומאינ,1.0714,5
ובעדנא,ובעת,1.0714,5
יטרונ,ישמרו,1.0714,6
ולצדו,ולשמה,1.0714,3
ומזיו,ומהדר,1.0714,3
אשרתא,האשרה,1.0714,5
עשו,עשו,1.0709,117
אבהתוהי,אבתיו,1.0667,40
לעמי,לעמי,1.0667,8
ישלח,ישלח,1.0667,8
אדע,אדע,1.0667,4
אשלחינכ,אשלחכ,1.0667,3
ותשתונ,ושתיתמ,1.0667,4
וישבעונ,ושבעו,1.0667,3
מקדשהונ,מקדשמ,1.0667,5
משתא,משנת,1.0667,4
פגרי,פגרי,1.0667,4
נביאתא,הנביאה,1.0667,3
אכזראינ,אכזרי,1.0667,3
וזעיקו,ויזעקו,1.0667,8
כתיבינ,כתובימ,1.0667,32
למשכנא,למשכנ,1.0655,22
וילידנ,וילדו,1.0643,7
מארעיה,מארצו,1.0643,7
נשוהי,נשיו,1.0640,12
ותחפי,וצפית,1.0638,20
תמותונ,תמותו,1.0625,9
בידיהונ,בידמ,1.0621,25
לעדנ,לעת,1.0621,11
מנרתא,המנרה,1.0615,23
ולבניהונ,ולבניהמ,1.0615,3
קשתא,הקשת,1.0606,7
ציצא,ציצ,1.0588,5
מגלתא,המגלה,1.0588,6
לבא,לב,1.0587,74
שמיא,השמימ,1.0582,166
אמרית,אמרתי,1.0556,38
קימיא,החקימ,1.0556,19
ושבעינ,ושבעימ,1.0552,17
ויטרונ,ושמרו,1.0545,22
מלכא,מלכ,1.0537,533
בדמא,בדמ,1.0537,12
סלא,סל,1.0526,6
מלח,מלח,1.0526,5
רבעות,רביעת,1.0526,8
ונח,ונח,1.0526,5
עלמ,עולמ,1.0521,127
אגירא,שכיר,1.0519,9
בכנ,לכנ,1.0506,180
ישתכחונ,ימצאונ,1.0505,8
ובכורי,ובכרת,1.0505,4
באחוהי,באחיו,1.0505,8
ואמרא,ותאמרנ,1.0505,4
יסבעונ,ישבעו,1.0505,4
וטורנינ,וסגנימ,1.0505,4
ותענונ,ועניתמ,1.0500,7
זיתינ,זיתימ,1.0500,3
יחלונ,יחללו,1.0500,3
צוחר,צחר,1.0500,3
בכונ,בכמ,1.0500,63
אתבזעו,נבקעו,1.0476,3
וערעו,ויפגעו,1.0476,3
חכימהא,חכמיה,1.0476,3
ועדרי,ועשתרת,1.0476,6
לנסיותכ,ענתכ,1.0476,3
אעלני,הביאני,1.0476,3
ויתמא,והיתומ,1.0476,6
עריתהנ,ערותנ,1.0476,3
מתרמינ,ינשאו,1.0476,3
כמשחתא,כמדות,1.0476,6
אחסנתי,נחלתי,1.0476,6
בשלו,בשגגה,1.0476,22
עמורה,עמרה,1.0476,8
למקבר,לקבר,1.0476,4
אחתיה,אחתו,1.0476,14
דאמות,מותי,1.0476,6
למשכב,לשכב,1.0476,4
ובזו,ויבזו,1.0476,5
לבנא,לבבנו,1.0476,3
וברתכ,ובתכ,1.0476,5
תדרוכ,תדרכ,1.0476,3
וזרק,ויזרק,1.0476,5
יקדש,יקדיש,1.0476,6
בתינ,בתימ,1.0476,11
חלמ,הנחלמי,1.0476,3
ברמות,ברמת,1.0476,4
דכספ,כספ,1.0466,91
שקצא,שקצ,1.0452,9
לזנה,למינה,1.0446,13
דקודשי,קדשי,1.0435,24
שפט,שפט,1.0435,6
תעבדונ,תעשו,1.0417,105
בלחודי,לבדי,1.0417,10
ולמהכ,וללכת,1.0417,5
ונסכיה,ונסכו,1.0417,5
אחוכ,אחיכ,1.0417,75
לאבא,לאבי,1.0417,5
למקרי,לקרא,1.0408,17
שמיה,שמו,1.0405,123
בשתיא,בשתי,1.0400,7
מדמא,מדמ,1.0400,13
בית,בית,1.0399,437
ויתנ,ונתנ,1.0395,69
בשתא,בשנה,1.0388,67
עינוהי,עיניו,1.0370,28
לבית,לבית,1.0367,120
תניתא,השנית,1.0357,29
וחמשא,וחמשה,1.0352,21
אסרת,אסרה,1.0345,9
חטינ,חטימ,1.0345,9
ימותונ,ימתו,1.0328,21
תימר,תאמר,1.0323,36
אוסיפ,אוסיפ,1.0323,8
אחוכונ,אחיכמ,1.0321,38
בעיניהונ,בעיניהמ,1.0321,7
עינינ,עינימ,1.0317,10
מחרבא,מחרב,1.0317,5
תגלי,תגלה,1.0317,13
ענכ,צאנכ,1.0316,14
לאבהתכ,לאבתיכ,1.0316,14
יתכונ,אתכמ,1.0314,296
ארבעא,ארבעה,1.0312,33
לבכונ,לבבכמ,1.0312,33
ובריכ,ויברכ,1.0309,40
ואקבר,ואקברה,1.0303,3
תקימונ,תקימו,1.0303,3
דבחיהונ,זבחיהמ,1.0303,3
יתקלונ,יכשלו,1.0292,8
דפרסא,פרכת,1.0286,8
נדרא,נדר,1.0286,14
אמיה,אמו,1.0286,54
ומתמנ,ומשמ,1.0286,12
יקומ,יקומ,1.0286,18
בזו,בזזו,1.0286,6
טפלהונ,טפמ,1.0286,6
דכשר,הישר,1.0286,27
ולמרחמ,ולאהבה,1.0286,3
מעזקתיה,בפתיל,1.0286,3
לזיע,לזועה,1.0286,4
אורכא,ארכ,1.0278,37
בחצוצרתא,בחצצרת,1.0256,4
שמהונ,שממ,1.0256,5
ובכת,ותבכ,1.0256,5
אבניא,האבנימ,1.0256,24
וגבריהונ,ואנשיהמ,1.0256,4
ושמע,וישמע,1.0241,58
יומינ,ימימ,1.0239,273
יעבר,יעבר,1.0233,11
ורוח,ורוח,1.0233,11
לאחוכונ,לאחיכמ,1.0227,3
ואתקדש,ונקדשתי,1.0227,6
ותקדשונ,וקדשתמ,1.0227,3
ואעברו,ויעבירו,1.0227,3
ובחוביה,ובחטאתו,1.0227,3
שטינ,שטימ,1.0227,27
לשואה,לשומ,1.0214,13
מיומא,מיומ,1.0196,14
לשכתא,הלשכות,1.0196,6
ולבנכ,ולזרעכ,1.0185,15
בידכונ,בידכמ,1.0185,11
ונפלח,ונעבדה,1.0185,5
ובכפנא,וברעב,1.0185,10
אקדשית,הקדשתי,1.0182,4
ארגונא,הארגמנ,1.0182,4
לבכ,לבבכ,1.0174,26
למלכא,למלכ,1.0159,64
תכלא,תכלת,1.0159,32
רישכ,ראשכ,1.0159,8
גמלא,הגמל,1.0145,7
בבעירא,בבהמה,1.0136,17
ותמללונ,ודברתמ,1.0130,3
היכלא,היכל,1.0130,9
לעפרא,לעפר,1.0130,3
ולרמתא,ולגבעות,1.0130,3
בשקרא,בשקר,1.0130,3
וצלוחיתא,וצפחת,1.0130,3
החזיתונ,הראיתמ,1.0130,3
ואקדימו,וישכימו,1.0115,11
ואבוהי,ואביו,1.0111,7
מבנוהי,מבניו,1.0111,7
בתריכונ,אחריכמ,1.0101,10
בארעהונ,בארצמ,1.0080,9
עמי,עמי,1.0067,151
כחדא,יחדו,1.0065,77
רבוניה,אדניו,1.0065,35
אחזיני,הראני,1.0065,7
ספרא,הספר,1.0063,32
לחמא,לחמ,1.0062,90
בפומכ,בפיכ,1.0062,9
ובחר,ויבחר,1.0057,8
מצראה,מצרי,1.0057,8
יימרונ,יאמרו,1.0048,32
ושלחית,ואשלח,1.0048,8
דקריבינ,הקרבימ,1.0048,7
דירחו,ירחו,1.0039,10
רישי,ראשי,1.0025,50
ליהודה,ליהודה,1.0000,6
וחיליה,וצבאו,1.0000,24
ועמודי,ומיתריהמ,1.0000,4
בחופאה,במכסה,1.0000,6
מטולהונ,משאמ,1.0000,6
קנאה,קנאה,1.0000,4
פטירינ,ורקיקי,1.0000,8
מתקלה,משקלה,1.0000,12
לדכואיהונ,לטהרמ,1.0000,4
וחורו,ויכבסו,1.0000,4
מחיל,מצבא,1.0000,4
תיבבונ,תריעו,1.0000,3
מטלני,מסעי,1.0000,4
עיננא,עינינו,1.0000,3
טלא,הטל,1.0000,7
גדי,גדי,1.0000,8
אתוותי,אתתי,1.0000,4
וטולו,וסעו,1.0000,6
כשעה,כרגע,1.0000,4
וצלינא,קלנו,1.0000,4
אמרי,אמרי,1.0000,7
ביתו,לינו,1.0000,4
וסטת,ותט,1.0000,4
מותבכ,מושבכ,1.0000,3
ללוי,ללוי,1.0000,3
וישתוק,וקמו,1.0000,6
דברתא,המלקוח,1.0000,8
תדונ,תתחטאו,1.0000,4
לעבדיכ,לעבדיכ,1.0000,6
מאחסנת,מנחלת,1.0000,6
שבטיא,שבטי,1.0000,35
וארעא,והארצ,1.0000,44
ולאפרשא,ולהבדיל,1.0000,3
ואטדינ,ודרדר,1.0000,3
מטלטל,ונד,1.0000,4
ותשע,ותשע,1.0000,11
ואתתכ,ואשתכ,1.0000,3
ויפשונ,ופרו,1.0000,4
ואימתכונ,ומוראכמ,1.0000,4
וערית,וערות,1.0000,3
וארמ,וארמ,1.0000,4
ומשכנינ,ואהלימ,1.0000,3
ושפנינא,ותר,1.0000,3
ידהא,ידיה,1.0000,6
תותבותכ,מגריכ,1.0000,4
ברכתי,ברכתי,1.0000,4
ותקדמונ,והשכמתמ,1.0000,4
אתתי,אשתי,1.0000,9
סכינא,המאכלת,1.0000,4
ומארע,ומארצ,1.0000,4
גמלינ,גמלימ,1.0000,6
ואוחיאת,ותמהר,1.0000,11
ארעתא,הארצת,1.0000,4
סניתונ,שנאתמ,1.0000,3
כיומיא,כימימ,1.0000,4
נמור,וטלוא,1.0000,4
העוד,העוד,1.0000,4
ובנימנ,ובנימנ,1.0000,4
חלמית,חלמתי,1.0000,4
ופטימתא,ותאכלנה,1.0000,3
פטימנ,בריאות,1.0000,4
נימר,נאמר,1.0000,3
ותורכ,ובקרכ,1.0000,4
חבר,חבר,1.0000,5
וענהונ,וצאנמ,1.0000,7
גבעת,גבעת,1.0000,4
לפקדא,לצות,1.0000,3
במללותהונ,בדברמ,1.0000,4
